location_id,location_name,sku_id,sku_name,time_period,demand,uom,type,part_type
DC1,A,38340M844A0,S1,04-01-2006,14492,units,Seasonal,Wiper
DC1,A,38340M844A0,S1,05-01-2006,30760,units,Seasonal,Wiper
DC1,A,38340M844A0,S1,06-01-2006,44461,units,Seasonal,Wiper
DC1,A,38340M844A0,S1,07-01-2006,33386,units,Seasonal,Wiper
DC1,A,38340M844A0,S1,08-01-2006,18238,units,Seasonal,Wiper
DC1,A,38340M844A0,S1,09-01-2006,13148,units,Seasonal,Wiper
DC1,A,38340M844A0,S1,10-01-2006,9458,units,Seasonal,Wiper
DC1,A,38340M844A0,S1,11-01-2006,10948,units,Seasonal,Wiper
DC1,A,38340M844A0,S1,12-01-2006,11608,units,Seasonal,Wiper
DC1,A,38340M844A0,S1,01-01-2007,10300,units,Seasonal,Wiper
DC1,A,38340M844A0,S1,02-01-2007,11416,units,Seasonal,Wiper
DC1,A,38340M844A0,S1,03-01-2007,11360,units,Seasonal,Wiper
DC1,A,38340M844A0,S1,04-01-2007,12224,units,Seasonal,Wiper
DC1,A,38340M844A0,S1,05-01-2007,24742,units,Seasonal,Wiper
DC1,A,38340M844A0,S1,06-01-2007,28310,units,Seasonal,Wiper
DC1,A,38340M844A0,S1,07-01-2007,25594,units,Seasonal,Wiper
DC1,A,38340M844A0,S1,08-01-2007,18394,units,Seasonal,Wiper
DC1,A,38340M844A0,S1,09-01-2007,27864,units,Seasonal,Wiper
DC1,A,38340M844A0,S1,10-01-2007,20864,units,Seasonal,Wiper
DC1,A,38340M844A0,S1,11-01-2007,5890,units,Seasonal,Wiper
DC1,A,38340M844A0,S1,12-01-2007,7588,units,Seasonal,Wiper
DC1,A,38340M844A0,S1,01-01-2008,6542,units,Seasonal,Wiper
DC1,A,38340M844A0,S1,02-01-2008,7784,units,Seasonal,Wiper
DC1,A,38340M844A0,S1,03-01-2008,7662,units,Seasonal,Wiper
DC1,A,38340M844A0,S1,04-01-2008,10560,units,Seasonal,Wiper
DC1,A,38340M844A0,S1,05-01-2008,21794,units,Seasonal,Wiper
DC1,A,38340M844A0,S1,06-01-2008,37286,units,Seasonal,Wiper
DC1,A,38340M844A0,S1,07-01-2008,22990,units,Seasonal,Wiper
DC1,A,38340M844A0,S1,08-01-2008,20504,units,Seasonal,Wiper
DC1,A,38340M844A0,S1,09-01-2008,14732,units,Seasonal,Wiper
DC1,A,38340M844A0,S1,10-01-2008,10548,units,Seasonal,Wiper
DC1,A,38340M844A0,S1,11-01-2008,10038,units,Seasonal,Wiper
DC1,A,38340M844A0,S1,12-01-2008,12010,units,Seasonal,Wiper
DC1,A,38340M844A0,S1,01-01-2009,10224,units,Seasonal,Wiper
